x1,y1,z1,x2,y2,z2
-33,15,40,,,
-33,15,-40,,,
-33,16,40,,,
-33,16,-40,,,
-33,17,40,,,
-33,17,-40,,,
-33,18,40,,,
-33,18,-40,,,
-33,19,40,,,
-33,19,-40,,,
-33,20,40,,,
-33,20,-40,,,
-33,21,40,,,
-33,21,-40,,,
-33,22,40,,,
-33,22,-40,,,
-32,-23,40,,,
-32,-23,-40,,,
-32,-22,40,,,
-32,-22,-40,,,
-32,-21,40,,,
-32,-21,-40,,,
-32,-20,40,,,
-32,-20,-40,,,
-32,-19,40,,,
-32,-19,-40,,,
-32,-18,40,,,
-32,-18,-40,,,
-32,-17,40,,,
-32,-17,-40,,,
-32,-16,40,,,
-32,-16,-40,,,
-32,-15,40,,,
-32,-15,-40,,,
-32,-14,40,,,
-32,-14,-40,,,
-32,-13,40,,,
-32,-13,-40,,,
-32,-12,40,,,
-32,-12,-40,,,
-32,-11,40,,,
-32,-11,-40,,,
-32,-10,40,,,
-32,-10,-40,,,
-32,-9,40,,,
-32,-9,-40,,,
-32,-8,40,,,
-32,-8,-40,,,
-32,-7,40,,,
-32,-7,-40,,,
-32,-6,40,,,
-32,-6,-40,,,
-32,-5,40,,,
-32,-5,-40,,,
-32,-4,40,,,
-32,-4,-40,,,
-32,-3,40,,,
-32,-3,-40,,,
-32,-2,40,,,
-32,-2,-40,,,
-32,-1,40,,,
-32,-1,-40,,,
-32,0,40,,,
-32,0,-40,,,
-32,1,40,,,
-32,1,-40,,,
-32,2,40,,,
-32,2,-40,,,
-32,3,40,,,
-32,3,-40,,,
-32,4,40,,,
-32,4,-40,,,
-32,5,40,,,
-32,5,-40,,,
-32,6,40,,,
-32,6,-40,,,
-32,7,40,,,
-32,7,-40,,,
-32,8,40,,,
-32,8,-40,,,
-32,9,40,,,
-32,9,-40,,,
-32,10,40,,,
-32,10,-40,,,
-32,11,40,,,
-32,11,-40,,,
-32,12,40,,,
-32,12,-40,,,
-32,13,40,,,
-32,13,-40,,,
-32,14,40,,,
-32,14,-40,,,
-32,15,40,,,
-32,15,-40,,,
-32,16,40,,,
-32,16,-40,,,
-32,17,40,,,
-32,17,-40,,,
-32,18,40,,,
-32,18,-40,,,
-32,19,40,,,
-32,19,-40,,,
-32,20,40,,,
-32,20,-40,,,
-32,21,40,,,
-32,21,-40,,,
-32,22,40,,,
-32,22,-40,,,
-32,23,40,,,
-32,23,-40,,,
-31,-25,40,,,
-31,-25,-40,,,
-31,-24,40,,,
-31,-24,-40,,,
-31,-23,40,,,
-31,-23,-40,,,
-31,-22,40,,,
-31,-22,-40,,,
-31,-21,40,,,
-31,-21,-40,,,
-31,-20,40,,,
-31,-20,-40,,,
-31,-19,40,,,
-31,-19,-40,,,
-31,-18,40,,,
-31,-18,-40,,,
-31,-17,40,,,
-31,-17,-40,,,
-31,-16,40,,,
-31,-16,-40,,,
-31,-15,40,,,
-31,-15,-40,,,
-31,-14,40,,,
-31,-14,-40,,,
-31,-13,40,,,
-31,-13,-40,,,
-31,-12,40,,,
-31,-12,-40,,,
-31,-11,40,,,
-31,-11,-40,,,
-31,-10,40,,,
-31,-10,-40,,,
-31,-9,40,,,
-31,-9,-40,,,
-31,-8,40,,,
-31,-8,-40,,,
-31,-7,40,,,
-31,-7,-40,,,
-31,-6,40,,,
-31,-6,-40,,,
-31,-5,40,,,
-31,-5,-40,,,
-31,-4,40,,,
-31,-4,-40,,,
-31,-3,40,,,
-31,-3,-40,,,
-31,-2,40,,,
-31,-2,-40,,,
-31,-1,40,,,
-31,-1,-40,,,
-31,0,40,,,
-31,0,-40,,,
-31,1,40,,,
-31,1,-40,,,
-31,2,40,,,
-31,2,-40,,,
-31,3,40,,,
-31,3,-40,,,
-31,4,40,,,
-31,4,-40,,,
-31,5,40,,,
-31,5,-40,,,
-31,6,40,,,
-31,6,-40,,,
-31,7,40,,,
-31,7,-40,,,
-31,8,40,,,
-31,8,-40,,,
-31,9,40,,,
-31,9,-40,,,
-31,10,40,,,
-31,10,-40,,,
-31,11,40,,,
-31,11,-40,,,
-31,12,40,,,
-31,12,-40,,,
-31,13,40,,,
-31,13,-40,,,
-31,14,40,,,
-31,14,-40,,,
-31,15,40,,,
-31,15,-40,,,
-31,16,40,,,
-31,16,-40,,,
-31,17,40,,,
-31,17,-40,,,
-31,18,40,,,
-31,18,-40,,,
-31,19,40,,,
-31,19,-40,,,
-31,20,40,,,
-31,20,-40,,,
-31,21,40,,,
-31,21,-40,,,
-31,22,40,,,
-31,22,-40,,,
-31,23,40,,,
-31,23,-40,,,
-31,24,40,,,
-31,24,-40,,,
-31,25,40,,,
-31,25,-40,,,
-30,-26,40,,,
-30,-26,-40,,,
-30,-25,40,,,
-30,-25,-40,,,
-30,-24,40,,,
-30,-24,-40,,,
-30,-23,40,,,
-30,-23,-40,,,
-30,-22,40,,,
-30,-22,-40,,,
-30,-21,40,,,
-30,-21,-40,,,
-30,-20,40,,,
-30,-20,-40,,,
-30,-19,40,,,
-30,-19,-40,,,
-30,-18,40,,,
-30,-18,-40,,,
-30,-17,40,,,
-30,-17,-40,,,
-30,-16,40,,,
-30,-16,-40,,,
-30,-15,40,,,
-30,-15,-40,,,
-30,-14,40,,,
-30,-14,-40,,,
-30,-13,40,,,
-30,-13,-40,,,
-30,-12,40,,,
-30,-12,-40,,,
-30,-11,40,,,
-30,-11,-40,,,
-30,-10,40,,,
-30,-10,-40,,,
-30,-9,40,,,
-30,-9,-40,,,
-30,-8,40,,,
-30,-8,-40,,,
-30,-7,40,,,
-30,-7,-40,,,
-30,-6,40,,,
-30,-6,-40,,,
-30,-5,40,,,
-30,-5,-40,,,
-30,-4,40,,,
-30,-4,-40,,,
-30,-3,40,,,
-30,-3,-40,,,
-30,-2,40,,,
-30,-2,-40,,,
-30,-1,40,,,
-30,-1,-40,,,
-30,0,40,,,
-30,0,-40,,,
-30,1,40,,,
-30,1,-40,,,
-30,2,40,,,
-30,2,-40,,,
-30,3,40,,,
-30,3,-40,,,
-30,4,40,,,
-30,4,-40,,,
-30,5,40,,,
-30,5,-40,,,
-30,6,40,,,
